iter	Logloss
0	0.6113771515
1	0.547989624
2	0.4988337097
3	0.4608491745
4	0.4314070587
5	0.4085744781
6	0.3908603668
7	0.376994133
8	0.3660826721
9	0.3575164337
10	0.3507964706
11	0.3454377518
12	0.3412684174
13	0.3379387283
14	0.3352610168
15	0.3330876007
16	0.3314099808
17	0.3300499496
18	0.3289704666
19	0.3281423874
20	0.3273902359
21	0.3267522507
22	0.3262618103
23	0.3258134918
24	0.3254582748
25	0.3251467209
26	0.3248434753
27	0.324578476
28	0.3243256836
29	0.3241152573
30	0.3239928131
31	0.3238504562
32	0.3237102509
33	0.3235422821
34	0.3234487839
35	0.3232959061
36	0.3231389084
37	0.3230735397
38	0.3229389496
39	0.3228100815
40	0.3226822205
41	0.3225439529
42	0.3224647217
43	0.3223461075
44	0.3222472
45	0.322155899
46	0.3220866394
47	0.3219737091
48	0.3218767014
49	0.3217738571
50	0.3216513443
51	0.3215390625
52	0.3214225311
53	0.3212589417
54	0.3211475143
55	0.3210090027
56	0.320893074
57	0.3208277512
58	0.3207159729
59	0.3205868073
60	0.3205454102
61	0.3204432755
62	0.3203302765
63	0.3202681198
64	0.3201309891
65	0.3200431824
66	0.3199438477
67	0.3198296585
68	0.3197360153
69	0.3196305542
70	0.3195368347
71	0.3195335617
72	0.3194887238
73	0.3193263092
74	0.3192376099
75	0.3191934967
76	0.3190692062
77	0.3189562683
78	0.3188401566
79	0.3187584229
80	0.3186452637
81	0.3185294647
82	0.3184115677
83	0.3182690353
84	0.318131424
85	0.3180155106
86	0.3179062729
87	0.3177424164
88	0.3176857681
89	0.3176134033
90	0.317495903
91	0.3173926163
92	0.3172924118
93	0.3172091522
94	0.3171137695
95	0.3170086212
96	0.3169273148
97	0.3168258057
98	0.3167118225
99	0.3166100998
