iter	Passed	Remaining
0	9	1095
1	14	853
2	25	981
3	29	868
4	35	814
5	42	813
6	51	831
7	61	865
8	67	835
9	75	832
10	82	820
11	90	815
12	96	797
13	103	783
14	110	773
15	118	768
16	125	760
17	131	745
18	140	746
19	146	733
20	153	722
21	163	729
22	175	740
23	186	747
24	198	753
25	205	744
26	212	730
27	219	720
28	226	710
29	232	696
30	242	696
31	254	701
32	264	697
33	272	690
34	279	679
35	284	663
36	291	652
37	298	643
38	306	636
39	312	625
40	317	612
41	325	604
42	331	594
43	342	591
44	348	581
45	358	576
46	369	574
47	375	563
48	382	553
49	391	547
50	397	537
51	404	529
52	410	519
53	418	511
54	424	501
55	431	492
56	438	485
57	444	475
58	451	467
59	458	458
60	464	449
61	472	442
62	478	433
63	486	425
64	492	416
65	499	408
66	505	400
67	512	391
68	523	386
69	531	379
70	539	372
71	546	364
72	555	357
73	562	349
74	570	342
75	577	334
76	583	326
77	590	317
78	596	309
79	604	302
80	611	294
81	619	286
82	625	278
83	633	271
84	639	263
85	646	255
86	656	249
87	669	243
88	679	236
89	687	229
90	696	221
91	706	214
92	716	208
93	725	200
94	733	193
95	740	185
96	749	177
97	756	169
98	762	161
99	769	153
100	776	146
101	784	138
102	791	130
103	800	123
104	806	115
105	814	107
106	821	99
107	829	92
108	835	84
109	843	76
110	851	69
111	857	61
112	869	53
113	881	46
114	892	38
115	904	31
116	916	23
117	924	15
118	937	7
119	950	0
